file_name,label,title,type,org_abbreviated,year,month,day,accessed_on,source
HFI_selfdescription,28_HFI,This is a Statement on our Approach,self_description,HFI,12,5,1,161006,http://www.muslm.org/vb/showthread.php?488644-%D8%AA%D8%B9%D8%B1%D9%8A%D9%81-%D8%A8%D8%AD%D8%B1%D9%83%D8%A9-%D8%A7%D9%84%D9%81%D8%AC%D8%B1-%D8%A7%D9%84%D8%A5%D8%B3%D9%84%D8%A7%D9%85%D9%8A%D8%A9-%D9%81%D9%8A-%D8%B3%D9%88%D8%B1%D9%8A%D8%A9
HM_charter,29_HM,Statement of Establishment,charter,HM,14,1,26,160919,https://www.youtube.com/watch?v=ci2lIdqorPA&feature=youtu.be
HM_selfdescription,30_HM,Founding Charter,self_description,HM,14,1,26,160919,http://www.asharqalarabi.org.uk/%D8%AA%D8%A3%D8%B3%D9%8A%D8%B3-%D8%AD%D8%B1%D9%83%D8%A9-%D8%AC%D8%AF%D9%8A%D8%AF%D8%A9-%D8%AD%D8%B2%D9%85--%D9%84%D8%AA%D8%B5%D8%AD%D9%8A%D8%AD-%D9%85%D8%B3%D8%A7%D8%B1-%D8%A7%D9%84%D8%AB%D9%88%D8%B1%D8%A9-2712014_ad-id!18195.ks#.V9-UuXV95KQ
HTS_selfdescription,31_HTS,Founding Statement HTS,self_description,HTS,17,1,28,170319,http://safa.ps/post/199857/%D8%A7%D9%84%D8%A5%D8%B9%D9%84%D8%A7%D9%86-%D8%B9%D9%86-%D8%AA%D8%B4%D9%83%D9%8A%D9%84-%D9%83%D9%8A%D8%A7%D9%86-%D8%B3%D9%88%D8%B1%D9%8A-%D9%85%D8%B9%D8%A7%D8%B1%D8%B6-%D8%A8%D8%A7%D8%B3%D9%85-%D9%87%D9%8A%D8%A6%D8%A9-%D8%AA%D8%AD%D8%B1%D9%8A%D8%B1-%D8%A7%D9%84%D8%B4%D8%A7%D9%85
HTS_charter,32_HTS,The First speech of Hashem al-Sheikh,charter,HTS,17,2,9,170319,https://www.youtube.com/watch?v=KAPfjaNvTJ0
IDIC_selfdescription,33_IDIC,Statement No 1 of IDIC,self_description,IDIC,12,6,3,160623,http://www.elshaab.org/news/17909/%D8%A7%D9%84%D8%A8%D9%8A%D8%A7%D9%86-%D8%A7%D9%84%D8%A3%D9%88%D9%84-%D9%84%D9%80%D8%A7%D9%84%D8%AA%D9%8A%D8%A7%D8%B1-%D8%A7%D9%84%D8%A5%D8%B3%D9%84%D8%A7%D9%85%D9%8A-%D8%A7%D9%84%D8%AF%D9%8A%D9%85%D9%82%D8%B1%D8%A7%D8%B7%D9%8A-%D8%A7%D9%84%D9%85%D8%B3%D8%AA%D9%82%D9%84-%D9%85%D9%86-%D8%A7%D9%84%D8%AF%D8%A7%D8%AE%D9%84-%D8%A7%D9%84%D8%B3%D9%88%D8%B1%D9%8A
IF_charter,34_IF,Founding Charter,charter,IF,13,11,21,,
ISM_charter,35_HSI,Important Statement on founding,charter,HSI,13,8,18,170317,https://www.youtube.com/watch?v=f_A3QblCiHQ
JA_charter,36_JA ,Statement,charter,JA ,14,7,27,160822,https://www.youtube.com/watch?v=fkTlrrXuu7s
JAD_charter,37_ADF,Charter of JAD,charter,ADF,14,8,15,180901,http://archive.org/details/methaq_sy
JAD_selfdescription,38_ADF,Founding Statement,self_description,ADF,14,7,25,161006,https://www.youtube.com/watch?v=Fx9uLbm0Nqw
JaI_selfdescription,39_JaI,Ideas and Program,self_description,JaI,,,,160810,https://islamarmysyria.wordpress.com/about/
